수집시각,순위,브랜드,상품명,위시수,가격
2026-08-26 20:59,162,슬림웨이,역가수치 120만 슬림웨이 카무트 브랜드밀 발효효소 30포 X 3박스 (3개월분) + 쇼핑백 증정,119,40900
2026-08-26 20:59,163,바르닭,바르닭 촉촉 스팀 닭가슴살 5종 세트 (총 5팩),18,14900
2026-08-26 20:59,164,더존건강,더존건강 한끼 곤약젤리 5가지맛 150g 10팩 1박스,149,8900
2026-08-26 20:59,165,서울약사신협,"""수면 선물"" 리포좀 식물성 멜라토닌 2mm함유 스윗드림",3,18900
2026-08-26 20:59,166,플라이밀,1일1포 라이블링 애사비 파사비 젤리 5종 1박스 (복숭아/레몬/자몽/샤인머스캣/매실),140,12900
2026-08-26 20:59,167,메디트리,포켓 샐러드 캔디 식이섬유 정 몰티즈 콜라보 1박스 츄어블 채소 야채 과일 청소년 어린이 선물,8395,15500
2026-08-26 20:59,168,프롬바이오,"든든한 에너지 충전 [리뷰이벤트] 아미노맥스 에너지젤 2520 20포+1포 팔라티노스 9,000mg 아르기닌 BCAA 아미노산 러닝 + 친구 생일",95,30900
2026-08-26 20:59,169,다신샵,식사대용 프로틴 단백질18g 고단백쉐이크 단백한끼 5종 10+10팩,388,38900
2026-08-26 20:59,170,아일로,선물하기 1등콜라겐 아일로 뮤신 콜라겐 젤리 20포 + 선물용 쇼핑백 증정,3204,30000
2026-08-26 20:59,171,다신샵,"""간식먹구 힘내"" 죄책감없이 다신나는간식박스 16종 선물세트 가벼운 단백질 과자",2252,26900
2026-08-26 20:59,172,랩노쉬,고단백 간식 추천 [랩노쉬] 단백쿠키 20개입 (5종혼합/더블초코/피넛버터/아몬드앤그린티/리치코코넛),1192,20900
2026-08-26 20:59,173,랩노쉬,미식가 헬스인 맞춤 [랩노쉬] 프로틴 드링크 스타터팩 선물세트 (6개입),4039,15900
2026-08-26 20:59,174,파지티브호텔,"산도 0.1 [파지티브호텔] 지중해 올리브오일 캡슐 쿠파주 (1box / 2캡슐, 30포)",1269,32000
2026-08-26 20:59,175,동아제약,"""USA NO.1 BCAA"" 엑스텐드 제로슈가 bcaa 7,000mg 고함량 50서빙 3가지맛 택1 (50회분)",791,39900
